start,end,SR,Sortino,Return,MaxDrawdown,DailyNumberOfTrades,DailyTradingValue,ReturnOverMDD,ReturnOverTrade,MaxPositionValue,day
2025-01-02T00:00:00.000000,2025-01-02T23:59:50.000000,101.73756236042364,144.86937493661696,490.4039249999935,47.89266999999961,2737.3168190762817,9438981.72473666,10.23964470972275,5.19611866604e-05,24135.125,2
2025-01-03T00:00:00.000000,2025-01-03T23:59:50.000000,27.156717519821957,36.46522166555631,169.05021899995404,144.1336220000305,3246.375737932631,11380119.333441366,1.1728715108534375,1.48565917727e-05,58958.975000000006,3
2025-01-04T00:00:00.000000,2025-01-04T23:59:50.000000,-26.99909676675521,-29.247210112036285,-377.2669709999713,675.1063239999714,2276.263456418567,8226782.463896285,-0.5588260064943299,-4.5863694934e-05,147150.025,4
2025-01-05T00:00:00.000000,2025-01-05T23:59:50.000000,23.80747750029317,33.82833723119902,165.6663719999699,83.4342290000119,3314.383609214029,12042657.54610487,1.9855924119577624,1.37582213837e-05,57846.8,5
2025-01-06T00:00:00.000000,2025-01-06T23:59:50.000000,50.78343270876058,209.4839524406661,889.2588560000029,38.2493380000012,4562.528070378516,16746126.76911677,23.248999917331247,5.31085070389e-05,62633.525,6
2025-01-07T00:00:00.000000,2025-01-07T23:59:50.000000,54.53096193689208,203.084600813161,1466.760265999926,117.92800600004075,4922.569741868272,17398016.31929622,12.43776025517992,8.43159370958e-05,73666.5,7
2025-01-08T00:00:00.000000,2025-01-08T23:59:50.000000,27.195733400487345,41.746366896230775,237.2487309999566,182.19938300001348,2958.342400740826,9846126.90802175,1.3021379496106145,2.40984293356e-05,77335.77500000001,8
2025-01-09T00:00:00.000000,2025-01-09T23:59:50.000000,32.56894964556712,53.606769755679366,230.42399599998816,83.37982500000987,4220.488482463248,13799437.117073728,2.7635461695915158,1.67000049767e-05,19346.550000000003,9
2025-01-10T00:00:00.000000,2025-01-10T23:59:50.000000,23.571023921432182,31.03312615488288,186.76548400000613,124.43223699998909,3579.414284060655,11686157.404514452,1.5009413034985666,1.59836203135e-05,16474.625,10
2025-01-11T00:00:00.000000,2025-01-11T23:59:50.000000,5.43950515473374,6.977912287335581,18.19374700000128,37.65657599999179,1542.1784928811203,5026619.254635952,0.4831492645535603,3.619898798725288e-06,64804.50000000001,11
2025-01-12T00:00:00.000000,2025-01-12T23:59:50.000000,-25.545395197275678,-31.25018205653256,-90.73063399998318,154.5714159999893,1256.1453871975923,4108369.165690473,-0.5869819682572452,-2.20868993965e-05,49260.375,12
2025-01-13T00:00:00.000000,2025-01-13T23:59:50.000000,32.70796002331731,92.53039983843962,489.363899000032,70.06796100000247,4218.488250954972,13058450.38472048,6.984132148501007,3.7479220771e-05,21909.475,13
2025-01-14T00:00:00.000000,2025-01-14T23:59:50.000000,56.51000969752429,146.4301206922232,505.8671639999909,35.81860100000057,3685.426553999305,11777784.809538126,14.123029651548448,4.29559317307e-05,31663.25,14
2025-01-15T00:00:00.000000,2025-01-15T23:59:50.000000,35.453202071115705,44.03913227158087,244.50500800000987,146.7329659999809,3387.392059266119,11155391.213242289,1.666326352321139,2.19206396075e-05,35691.975000000006,15
2025-01-16T00:00:00.000000,2025-01-16T23:59:50.000000,24.521425850534325,32.69865852637934,144.27661399999147,92.40652500000704,2951.341590461859,9854156.667392066,1.5613249605477588,1.46428882232e-05,33715.75,16
2025-01-17T00:00:00.000000,2025-01-17T23:59:50.000000,-2.54050366600788,-3.187837030002334,-17.20329100001345,112.47382200001503,3353.38812362542,11456943.125083894,-0.1529537335364237,-1.5017341156619869e-06,21013.95,17
2025-01-18T00:00:00.000000,2025-01-18T23:59:50.000000,-17.49372599890972,-20.388182032719463,-142.896817000003,267.4500980000065,3660.42366014585,12140937.031045295,-0.5342933805916928,-1.17711966986e-05,25891.2,18
2025-01-19T00:00:00.000000,2025-01-19T23:59:50.000000,31.458555517689334,58.9010406890406,486.9249609999815,150.35001600000282,5958.689663155457,19484004.70313681,3.2386093061671,2.49939030501e-05,20440.95,19
2025-01-20T00:00:00.000000,2025-01-20T23:59:50.000000,19.90624079639569,31.032357428350505,355.99328300001207,341.8190049999845,10227.18370181734,33885954.81551093,1.0414672027964864,1.05068454654e-05,27397.800000000003,20
2025-01-21T00:00:00.000000,2025-01-21T23:59:50.000000,42.97757572060692,59.05052155184537,267.01618200000735,46.5708369999973,3544.4102326658176,11644409.5525871,5.733549130758006,2.29335020399e-05,23165.275,21
2025-01-22T00:00:00.000000,2025-01-22T23:59:50.000000,48.09873869927368,74.2171960784879,219.00260300000764,32.83750800000371,1476.1708531079985,4853687.799421219,6.669282060014509,4.51260902037e-05,29348.775,22
2025-01-23T00:00:00.000000,2025-01-23T23:59:50.000000,71.49146048656381,146.1584542981828,615.2089499999963,40.29748599999724,3569.413126519273,11578379.590230362,15.266683137504868,5.31404380195e-05,26229.0,23
2025-01-24T00:00:00.000000,2025-01-24T23:59:50.000000,43.26804838136959,66.66701579803272,276.57595899998955,49.54010100000613,2695.311957402477,9064858.763467992,5.582870309448003,3.05143169937e-05,30295.125,24
2025-01-25T00:00:00.000000,2025-01-25T23:59:50.000000,2.4033367822724747,2.964319249048353,9.07189400000516,53.61158900000584,1532.1773353397384,5069505.688343557,0.1692151672654987,1.7897098192706869e-06,13271.1,25
2025-01-26T00:00:00.000000,2025-01-26T23:59:50.000000,17.727514752963902,22.595415039268005,81.17881500001567,51.76560799999972,1546.1789558976734,5124681.284407915,1.5681997785096258,1.58425875245e-05,33373.75,26
