Return,start,end,SR,Sortino,MaxDrawdown,DailyNumberOfTrades,DailyTradingValue,ReturnOverMDD,ReturnOverTrade,MaxPositionValue,day
509.5887060000084,2025-01-02T00:00:00.000000,2025-01-02T23:59:50.000000,98.69457052551203,136.4574174169297,45.06935799999656,3683.426322491029,12696906.609376073,11.306766473133417,4.01395165516e-05,24135.125,2
201.73988799998824,2025-01-03T00:00:00.000000,2025-01-03T23:59:50.000000,31.417212248474385,42.295586952647575,160.27539000000445,3486.4035189258016,12217812.97872437,1.2587078278204946,1.65138589515e-05,58958.975000000006,3
-377.26697099990577,2025-01-04T00:00:00.000000,2025-01-04T23:59:50.000000,-26.99909676675047,-29.2472101120312,675.1063239999497,2276.263456418567,8226782.463896285,-0.558826006494251,-4.5863694934e-05,147150.025,4
140.58459399997878,2025-01-05T00:00:00.000000,2025-01-05T23:59:50.000000,20.60067010978601,29.04005223127915,88.47912900000551,3172.367172126404,11529380.359023036,1.5889011972526317,1.21950063984e-05,54231.375,5
949.6429409999996,2025-01-06T00:00:00.000000,2025-01-06T23:59:50.000000,54.04774687216134,228.5863931380613,37.21905199996922,4466.516957981248,16400027.5613381,25.51496854355089,5.79116628034e-05,62633.525,6
1477.9316099999787,2025-01-07T00:00:00.000000,2025-01-07T23:59:50.000000,55.11094624402165,205.65833911914697,117.92800600004082,4712.545433499247,16630640.942701718,12.532490458623265,8.8878275455e-05,73666.5,7
238.78024599996135,2025-01-08T00:00:00.000000,2025-01-08T23:59:50.000000,27.412495661737896,42.0785318213108,182.19938300001712,2956.34216923255,9839941.342099763,1.3105436586464123,2.42692387585e-05,77335.77500000001,8
236.79687399999463,2025-01-09T00:00:00.000000,2025-01-09T23:59:50.000000,32.08247960271344,55.74954234910499,77.76499799999351,4066.470656325964,13291907.15517998,3.045031570630458,1.78171786375e-05,19346.550000000003,9
139.47855300001652,2025-01-10T00:00:00.000000,2025-01-10T23:59:50.000000,16.742337490309,21.35846173673371,129.57951799998284,3726.431299918972,12175894.777080713,1.076393516142227,1.14566280978e-05,16474.625,10
-21.025996999971422,2025-01-11T00:00:00.000000,2025-01-11T23:59:50.000000,-5.9110694943778,-7.572770349002823,78.11569599998882,1703.1971292973724,5557133.216714896,-0.2691648167606986,-3.7840429635345593e-06,64804.50000000001,11
-142.23259300000825,2025-01-12T00:00:00.000000,2025-01-12T23:59:50.000000,-37.65243661640887,-46.03967637880064,217.13672099999712,1575.1823127676814,5154020.600162065,-0.6550370307931939,-2.75996291141e-05,49260.375,12
476.6857810000442,2025-01-13T00:00:00.000000,2025-01-13T23:59:50.000000,31.902127454199604,90.04695834276085,65.30235600000054,4316.4995948605165,13376105.970413268,7.29967202102234,3.56412367251e-05,21909.475,13
455.0154269999885,2025-01-14T00:00:00.000000,2025-01-14T23:59:50.000000,49.65401737495638,112.620703390432,52.1804220000042,4854.561870586874,15515250.016529668,8.720041148765562,2.93303747238e-05,31663.25,14
160.00928800000975,2025-01-15T00:00:00.000000,2025-01-15T23:59:50.000000,21.078740425825945,26.321547048426627,206.36768099998275,4645.537677971987,15323116.38884128,0.7753602076868961,1.04435550625e-05,35691.975000000006,15
-2.4432270000002063,2025-01-16T00:00:00.000000,2025-01-16T23:59:50.000000,-0.3862191495624347,-0.4981941738167693,104.24533099999655,3629.420071767566,12132521.957078386,-0.0234372798912239,-2.0140163951736725e-07,33715.75,16
-188.53932199996095,2025-01-17T00:00:00.000000,2025-01-17T23:59:50.000000,-24.02660542872931,-29.4922476864818,193.08229299996185,4763.551336960296,16283641.46072461,-0.976471322515308,-1.1579789856e-05,27012.2,17
-176.64115900000115,2025-01-18T00:00:00.000000,2025-01-18T23:59:50.000000,-21.354038615993492,-24.893280555657817,284.4725140000082,3808.440791758305,12656353.265702073,-0.6209427987126942,-1.39583339873e-05,25891.2,18
426.2535240000125,2025-01-19T00:00:00.000000,2025-01-19T23:59:50.000000,26.73717292136996,48.61587702336662,159.1459439999966,6578.761430721148,21585233.530917782,2.6783813227437423,1.97497453061e-05,20440.95,19
106.68504399999392,2025-01-20T00:00:00.000000,2025-01-20T23:59:50.000000,6.050868245058821,9.25733806390079,490.0002799999724,10201.180692209746,33860769.51054509,0.2177244551778622,3.1510622699254915e-06,27397.800000000003,20
280.2613900000053,2025-01-21T00:00:00.000000,2025-01-21T23:59:50.000000,42.93934480304203,59.04870114119358,68.99727399999892,3986.4613959949065,13116031.959254544,4.06191975062681,2.13703223876e-05,23165.275,21
160.13472599999386,2025-01-22T00:00:00.000000,2025-01-22T23:59:50.000000,34.195506952367474,51.1485995382401,78.01839000000605,1624.1879847204536,5347166.144970486,2.0525253853608287,2.99510540565e-05,29348.775,22
602.146065999972,2025-01-23T00:00:00.000000,2025-01-23T23:59:50.000000,69.38455409441401,140.14040083586522,54.8214619999992,3576.4139367982407,11600203.276119918,10.983765190355207,5.19142425838e-05,26229.0,23
160.85243399997762,2025-01-24T00:00:00.000000,2025-01-24T23:59:50.000000,22.659628422658933,31.937705100482063,57.44599800001191,3677.4256279662,12366905.69482578,2.800063356892925,1.30081895426e-05,30295.125,24
5.493410000013,2025-01-25T00:00:00.000000,2025-01-25T23:59:50.000000,1.4532673774425635,1.78375952724635,55.8997269999997,1566.1812709804376,5180533.698807734,0.0982725729593103,1.0605173529163235e-06,13271.1,25
27.39074900000196,2025-01-26T00:00:00.000000,2025-01-26T23:59:50.000000,5.687314908027828,7.249289942355929,93.09156500000114,1836.2125245977545,6090112.364116205,0.294234488377133,4.49809756449753e-06,36711.125,26
