start,end,SR,Sortino,MaxDrawdown,DailyNumberOfTrades,Return,DailyTradingValue,ReturnOverMDD,ReturnOverTrade,MaxPositionValue,day
2025-01-02T00:00:00.000000,2025-01-02T23:59:50.000000,63.58036656083701,89.8357954933708,53.49202900000012,1888.218543812941,310.3788049999956,6511841.735386054,5.80233748471188,4.76692685794e-05,20716.050000000003,2
2025-01-03T00:00:00.000000,2025-01-03T23:59:50.000000,4.302318468798903,5.735576145267344,123.03587200000516,2338.270633175136,25.001101999986304,8161555.644495916,0.2032017296547892,3.06363113481498e-06,52022.625,3
2025-01-04T00:00:00.000000,2025-01-04T23:59:50.000000,-31.62369341664477,-34.06012145899752,642.0739499999837,1468.169927074893,-428.0235699999786,5302978.070610018,-0.6666265934009462,-8.07231540088e-05,143561.0,4
2025-01-05T00:00:00.000000,2025-01-05T23:59:50.000000,24.86840330113855,36.20134150042186,84.35203999999169,2597.3006134969323,159.2313900000247,9438156.27919901,1.887700522714571,1.6872979953e-05,54231.375,5
2025-01-06T00:00:00.000000,2025-01-06T23:59:50.000000,52.28614467013582,240.4987418850259,39.0090399999666,2478.2868387544854,910.3823130000604,9094575.742933225,23.337726665430363,0.0001001132674306,66317.84999999999,6
2025-01-07T00:00:00.000000,2025-01-07T23:59:50.000000,52.82565462412821,233.2987477867092,108.86660500002544,3484.403287417525,1403.4643289999626,12294366.249056602,12.891596362352209,0.0001141682911806,73666.5,7
2025-01-08T00:00:00.000000,2025-01-08T23:59:50.000000,11.275391292831213,18.680755294194437,165.48653100000098,1782.206273874291,101.22601499998711,5940047.65551569,0.6116873342398271,1.70432525463e-05,77335.77500000001,8
2025-01-09T00:00:00.000000,2025-01-09T23:59:50.000000,26.44683673099455,45.44136634743993,68.27571799998861,2953.3418219701352,179.50428399999385,9660560.960481554,2.629108697180216,1.85832958456e-05,16581.125,9
2025-01-10T00:00:00.000000,2025-01-10T23:59:50.000000,13.004706465760211,16.74746882329066,161.75964999998416,2637.3052436624607,106.22046900001487,8610051.223706447,0.6566561500351,1.23382267652e-05,16483.875,10
2025-01-11T00:00:00.000000,2025-01-11T23:59:50.000000,5.092458014892859,6.650619192427186,65.07339099998717,1320.1527954624378,17.87324300001859,4300730.199699034,0.274662849520507,4.156343474675533e-06,64804.50000000001,11
2025-01-12T00:00:00.000000,2025-01-12T23:59:50.000000,-27.724548534368733,-34.019605249358726,159.61634199999918,964.1115869892348,-101.19162799998612,3152648.609885405,-0.6339678427161715,-3.21010533912e-05,49260.375,12
2025-01-13T00:00:00.000000,2025-01-13T23:59:50.000000,34.71670940320986,97.15765510194434,83.1363129999985,3067.355017941891,528.2486540000145,9495835.595045725,6.354006269198203,5.56359464819e-05,21909.475,13
2025-01-14T00:00:00.000000,2025-01-14T23:59:50.000000,55.30351404292743,133.37610478984834,35.8736020000008,2259.261488598217,479.0883469999925,7213368.350596142,13.354899432735577,6.64244192408e-05,31663.25,14
2025-01-15T00:00:00.000000,2025-01-15T23:59:50.000000,24.042233351135437,29.619485282099596,140.36781600000202,2286.264613959949,169.2633999999914,7520004.370876259,1.205856191422035,2.25110232109e-05,38936.7,15
2025-01-16T00:00:00.000000,2025-01-16T23:59:50.000000,11.30686255290682,14.9752211060504,104.10413199999876,1979.2290774395185,67.495595999996,6603770.285264498,0.6483469455371551,1.02219498829e-05,33715.75,16
2025-01-17T00:00:00.000000,2025-01-17T23:59:50.000000,5.458256583777747,6.920091862286764,125.42108500001302,2425.2807037851603,36.48128200000315,8278721.005301537,0.2908704066784254,4.407142701873543e-06,21013.95,17
2025-01-18T00:00:00.000000,2025-01-18T23:59:50.000000,-16.380269258433376,-19.29063630065684,277.90435299999336,2556.2958675772657,-132.28913699999794,8481590.295543468,-0.4760239829708644,-1.55990145013e-05,23199.575000000004,18
2025-01-19T00:00:00.000000,2025-01-19T23:59:50.000000,28.36089515838501,48.227907449472326,184.0837049999964,3898.451209630744,410.7807030000181,12740181.58805415,2.231488675219929,3.22466559622e-05,23847.775,19
2025-01-20T00:00:00.000000,2025-01-20T23:59:50.000000,30.001527448380745,50.03012691870187,223.2214759999873,6142.710961916889,506.3639510000176,20358895.863687843,2.268437428484911,2.48747558862e-05,23973.075000000004,20
2025-01-21T00:00:00.000000,2025-01-21T23:59:50.000000,52.78155717260515,73.08570365506162,47.67246600000223,2261.2617201064936,333.96336799999574,7425643.129436253,7.005372199541347,4.49795418147e-05,19855.95,21
2025-01-22T00:00:00.000000,2025-01-22T23:59:50.000000,53.26041077005771,83.14128279478307,28.54312799999957,1035.1198055330478,226.6954410000066,3401098.0556082856,7.942207350224896,6.6661318853e-05,29348.775,22
2025-01-23T00:00:00.000000,2025-01-23T23:59:50.000000,59.7929418048946,115.29857121459015,55.864210999999045,2307.267044796851,532.4304199999974,7481520.116680161,9.530796380530758,7.11743125353e-05,26229.0,23
2025-01-24T00:00:00.000000,2025-01-24T23:59:50.000000,33.920479803499475,51.11788114345336,29.15291500000229,1721.19921287186,217.14337299999,5785953.400532473,7.448427472860703,3.75337465082e-05,26929.0,24
2025-01-25T00:00:00.000000,2025-01-25T23:59:50.000000,-2.896708315372507,-3.5732116521682964,88.66302899999516,1112.12871860169,-11.740640999985942,3679119.414006246,-0.1324186770112104,-3.1915245759802345e-06,13271.1,25
2025-01-26T00:00:00.000000,2025-01-26T23:59:50.000000,14.776966145878756,19.174166324496564,56.60064299999829,1221.1413358027548,68.6431640000144,4047150.060145848,1.2127629716152954,1.69628278443e-05,30036.375,26
