,precision,recall,f1-score,support
Down,0.5567307272647919,0.35285981687582413,0.43194798744835994,325353.0
No Change,0.5431981951487538,0.8202761142400677,0.6535840121235083,420623.0
Up,0.4825069662523774,0.09243270265461231,0.1551447059660101,118021.0
accuracy,0.5448398547680142,0.5448398547680142,0.5448398547680142,0.5448398547680142
macro avg,0.5274786295553077,0.4218562112568347,0.4135589018459594,863997.0
weighted avg,0.5400037516448645,0.5448398547680142,0.5020368992421584,863997.0
