,precision,recall,f1-score,support
Down,0.9839497364423094,0.9833842011599708,0.983666887515968,325353.0
No Change,0.9818681396972562,0.9829395919861729,0.9824035736986236,420623.0
Up,0.9805263738970182,0.9782665796764982,0.9793951732620775,118021.0
accuracy,0.9824686891273928,0.9824686891273928,0.9824686891273928,0.9824686891273928
macro avg,0.9821147500121947,0.9815301242742139,0.9818218781588897,863997.0
weighted avg,0.9824687172505157,0.9824686891273928,0.9824683522944901,863997.0
