Return,start,end,SR,Sortino,MaxDrawdown,DailyNumberOfTrades,DailyTradingValue,ReturnOverMDD,ReturnOverTrade,MaxPositionValue,day
533.6349850000056,2025-01-02T00:00:00.000000,2025-01-02T23:59:50.000000,100.49260071253052,141.31309877127552,45.069357999994736,3557.4117374696143,12264019.29667784,11.840305890313946,4.35172794943e-05,24135.125,2
199.1014540000217,2025-01-03T00:00:00.000000,2025-01-03T23:59:50.000000,31.445241297329712,42.20855325854897,162.363539999983,3354.388239379558,11751574.675957868,1.2262694814367965,1.69444952108e-05,58958.975000000006,3
-377.2669709999494,2025-01-04T00:00:00.000000,2025-01-04T23:59:50.000000,-26.999096766753556,-29.247210112034505,675.1063239999716,2276.263456418567,8226782.463896285,-0.5588260064942975,-4.5863694934e-05,147150.025,4
167.02504299998304,2025-01-05T00:00:00.000000,2025-01-05T23:59:50.000000,24.43465787220465,34.471137568804025,79.27853300000312,3179.367982405371,11553837.679731453,2.106812988075555,1.44579127273e-05,54231.375,5
909.5632149999988,2025-01-06T00:00:00.000000,2025-01-06T23:59:50.000000,51.70819072416899,217.02985359769383,40.88898699998936,4354.503993517768,15984782.240537092,22.244699165578144,5.69084074476e-05,62633.525,6
1496.5834779999705,2025-01-07T00:00:00.000000,2025-01-07T23:59:50.000000,54.35652299052524,198.80210541676135,112.10052800004117,4970.575298066906,17506060.944461197,13.350369571849129,8.54993432548e-05,73666.5,7
247.83717199999117,2025-01-08T00:00:00.000000,2025-01-08T23:59:50.000000,27.90094188160064,44.20648301190423,173.0616199999904,2940.3403171663385,9780903.769047324,1.43207472575378,2.53418156472e-05,77335.77500000001,8
229.9615289999924,2025-01-09T00:00:00.000000,2025-01-09T23:59:50.000000,31.46339641077011,51.06006656957688,97.45476400000211,4310.498900335687,14088145.862437788,2.3596745768117344,1.63249408576e-05,19346.550000000003,9
215.05003800002487,2025-01-10T00:00:00.000000,2025-01-10T23:59:50.000000,26.97847992559746,35.49410822278024,115.51394599998662,3711.4295636068982,12119053.048176918,1.861680303086952,1.77468429321e-05,16474.625,10
-15.504140999964534,2025-01-11T00:00:00.000000,2025-01-11T23:59:50.000000,-4.46146670903944,-5.693301711271679,66.81666999999192,1679.1943511980553,5475742.356476441,-0.2320400133674187,-2.8317504109931347e-06,64804.50000000001,11
-128.08340999999052,2025-01-12T00:00:00.000000,2025-01-12T23:59:50.000000,-33.38411182812012,-40.71787568353112,197.85236299999644,1479.171200370413,4839175.989813643,-0.6473686139396416,-2.64710844272e-05,49260.375,12
458.5022660000423,2025-01-13T00:00:00.000000,2025-01-13T23:59:50.000000,29.195641645237423,81.1496775255136,81.41427099998987,4846.560944553768,15013760.36374584,5.631718620929484,3.05423377238e-05,21909.475,13
439.0126999999848,2025-01-14T00:00:00.000000,2025-01-14T23:59:50.000000,49.1382798691968,117.14219132488115,38.03473400000366,4213.48767218428,13472236.286607236,11.542415414287964,3.25902476913e-05,31663.25,14
151.47805500001027,2025-01-15T00:00:00.000000,2025-01-15T23:59:50.000000,20.43242221565893,25.499282228429543,188.02995799998905,4277.495080449126,14103562.906817889,0.8056059609395811,1.07416537376e-05,35691.975000000006,15
72.51933999999824,2025-01-16T00:00:00.000000,2025-01-16T23:59:50.000000,12.04393937194943,15.54123273708649,108.57876200001276,3245.375622178493,10848499.01331173,0.667896176602103,6.685508688778774e-06,33715.75,16
-147.50665299998172,2025-01-17T00:00:00.000000,2025-01-17T23:59:50.000000,-19.89682630517743,-24.49304224819118,177.15070700000695,4083.472624146313,13952198.307767063,-0.8326619492406313,-1.05735113744e-05,23651.075000000004,17
-216.02478300001235,2025-01-18T00:00:00.000000,2025-01-18T23:59:50.000000,-25.12990764942612,-29.026682065048675,347.9084350000166,4085.4728556545897,13555771.124991337,-0.6209242469214695,-1.59378457168e-05,25891.2,18
444.0088380000016,2025-01-19T00:00:00.000000,2025-01-19T23:59:50.000000,27.524712195602262,49.81234180325715,157.2953690000095,6645.769186248408,21740354.62474812,2.8227712031367864,2.04256205349e-05,20440.95,19
320.2466499999696,2025-01-20T00:00:00.000000,2025-01-20T23:59:50.000000,18.486801602391115,29.21434800525576,371.90361000000667,9533.10336844542,31610125.079291426,0.8611012138332399,1.01323142212e-05,27397.800000000003,20
316.05040699998654,2025-01-21T00:00:00.000000,2025-01-21T23:59:50.000000,48.55965159077935,66.89943457261873,56.25760600000126,4068.47088783424,13375252.131589314,5.617914260339828,2.36322267447e-05,23165.275,21
224.24822499999948,2025-01-22T00:00:00.000000,2025-01-22T23:59:50.000000,47.36746835670733,71.8234822644334,37.347328000002165,1636.1893737701123,5381805.144113908,6.00439809241471,4.16726686779e-05,29348.775,22
638.5652649999936,2025-01-23T00:00:00.000000,2025-01-23T23:59:50.000000,72.79477601314235,148.43790551149323,41.14836499999757,3698.428058803102,11995941.069105206,15.518606024808795,5.3237939224e-05,26229.0,23
233.980673000002,2025-01-24T00:00:00.000000,2025-01-24T23:59:50.000000,35.08417937890019,52.28061816391576,57.59463300000823,2979.3448315777287,10022416.73193656,4.062542997712452,2.33484361596e-05,30295.125,24
16.759155000007127,2025-01-25T00:00:00.000000,2025-01-25T23:59:50.000000,4.324032108219218,5.323013774901467,51.06268500000277,1616.187058687348,5348110.544275964,0.3282074767514911,3.1340217826070444e-06,13271.1,25
42.762592999987874,2025-01-26T00:00:00.000000,2025-01-26T23:59:50.000000,8.871468433543514,11.272160898014576,68.77385500000223,1800.2083574487788,5967816.649519611,0.6217856044275326,7.166363422128739e-06,36711.125,26
