Model,Total Returns,AvgDailyReturn,AvgSharpeRatio,AvgSortinoRatio,AvgMDD,AvgNTrades,AvgTradingValue,AvgReturnOverTrade,AvgReturnOverMDD,MaxMDD,MaxPositionValue
GLFT,7263.1584009999915,242.10528003333306,25.377768277132926,54.12972331181774,119.74166333332937,2815.4258594744756,9368327.09745109,2.237171028290045e-05,4.115911042179979,652.1476689999487,143561.0
GLFT Tight Spread,7814.737054999903,260.49123516666344,25.884933869263076,55.30783946520541,130.01031253333528,3312.483389281166,11016564.083620798,2.030660936057039e-05,4.305495752020486,636.5081560000197,143561.0
GLFT Wide Spread,6781.38656799999,226.046218933333,23.941930449391506,49.259007424471754,121.37065056666579,2415.012848709341,8039919.402227104,2.356973056682676e-05,3.7502821597193066,652.2485449999573,143561.0
RF Tight Constant Norm,7936.223603999908,264.5407867999969,28.55916050971117,56.32972077779369,120.81937596666833,3356.121773353397,11178214.976214832,2.095417163633236e-05,4.381997503348105,675.1063239999714,147150.025
RF Wide Constant Norm,6470.418032000122,215.68060106667073,21.129933095911497,47.60079495550114,122.12387769999906,2449.816876953351,8146150.518828562,2.240028474457519e-05,4.016138397118613,642.0739499999546,143561.0
RF Tight Dynamic All,6486.872531000089,216.22908436666964,21.089737686199392,45.10945889450011,146.14384716666328,3708.76258826253,12351700.43862483,1.5094372709772302e-05,3.4754510858890764,675.1063239999497,147150.025
RF Wide Dynamic All,7366.8235240001,245.56078413333668,25.519900268578212,54.281829615828045,115.42943206666526,2254.7276305127907,7495627.057427943,2.9538333514104308e-05,4.39753075102271,642.0739499999619,143561.0
RF Tight Constant Train,7211.72592900015,240.390864300005,24.069072222409204,49.052942285418865,136.28402979999953,3619.152216691747,12038085.27323995,1.6893384128704115e-05,3.9294991315602514,675.1063239999716,147150.025
RF Wide Constant Train,7094.663411000194,236.48878036667313,24.227369717769058,52.23271362212039,120.57556779999669,2255.861095034147,7508275.150327585,2.777335892396053e-05,4.088623615718146,642.0739499999837,143561.0
