Return,start,end,SR,Sortino,MaxDrawdown,DailyNumberOfTrades,DailyTradingValue,ReturnOverMDD,ReturnOverTrade,MaxPositionValue,day
449.5707990000126,2025-01-02T00:00:00.000000,2025-01-02T23:59:50.000000,93.4564585981616,133.55831803392456,47.69254699999442,2607.3017710383147,8990398.545387207,9.426437195733438,5.0011446813e-05,24135.125,2
86.3029860000023,2025-01-03T00:00:00.000000,2025-01-03T23:59:50.000000,14.439036060297337,19.23347715994001,145.02470799997093,2760.3194814214608,9651146.890890175,0.5950916032874868,8.943286938181773e-06,55490.8,3
-422.1022549999439,2025-01-04T00:00:00.000000,2025-01-04T23:59:50.000000,-31.25640294743585,-33.68899631184039,652.1476689999487,1798.2081259405024,6497029.420997792,-0.6472495035476038,-6.49760202283e-05,143561.0,4
149.15717699998527,2025-01-05T00:00:00.000000,2025-01-05T23:59:50.000000,22.69205223266073,32.56521586827086,90.01332700000944,2853.3302465563143,10368821.865123304,1.6570565934083252,1.43868266328e-05,54231.375,5
877.4678860000104,2025-01-06T00:00:00.000000,2025-01-06T23:59:50.000000,50.25346578465631,228.6328946273401,38.85090999996055,3202.3706447505497,11752839.142308155,22.58551694158261,7.46687201205e-05,66317.84999999999,6
1527.4705279999323,2025-01-07T00:00:00.000000,2025-01-07T23:59:50.000000,55.94994845858555,238.06471898708196,112.0762840000464,4112.475981016321,14494582.893760856,13.62884700923257,0.0001053943635516,73666.5,7
181.42489700001124,2025-01-08T00:00:00.000000,2025-01-08T23:59:50.000000,21.410607100251845,33.74552244456401,164.0519459999932,2266.262298877185,7546022.352216693,1.1058990851593968,2.40452372406e-05,77335.77500000001,8
196.46949699999004,2025-01-09T00:00:00.000000,2025-01-09T23:59:50.000000,28.58071430889373,48.95094169727687,74.92794600000138,3503.405486746151,11456320.93307097,2.622112409166887,1.71514258639e-05,19323.45,9
115.18450100001792,2025-01-10T00:00:00.000000,2025-01-10T23:59:50.000000,14.142551874735284,18.10589724268125,140.83789199997784,3073.3557124667204,10034056.359115647,0.8178516403812408,1.14806843772e-05,13187.1,10
-0.4224449999595663,2025-01-11T00:00:00.000000,2025-01-11T23:59:50.000000,-0.1245317165903447,-0.1587793921375491,50.56188999998565,1460.1690010417872,4759026.363236479,-0.0083550080892879,-8.87773816468526e-08,64804.50000000001,11
-105.29437799999944,2025-01-12T00:00:00.000000,2025-01-12T23:59:50.000000,-29.64506317166225,-36.36467316552226,157.25461200000103,1178.1363583748118,3853502.227202224,-0.6695789500914525,-2.73274958858e-05,49260.375,12
556.5270040000116,2025-01-13T00:00:00.000000,2025-01-13T23:59:50.000000,35.632886908161986,107.84779931314092,71.29834699999901,3748.4338465100127,11603012.98131731,7.805608789219466,4.79695597341e-05,21909.475,13
449.1107279999811,2025-01-14T00:00:00.000000,2025-01-14T23:59:50.000000,53.48312936710853,134.09510439256417,33.65904800000028,3035.3513138094686,9699179.870262776,13.342942082021375,4.63093499072e-05,31663.25,14
180.3926530000099,2025-01-15T00:00:00.000000,2025-01-15T23:59:50.000000,26.718587883996022,33.0237095459922,143.13337899998064,3125.361731681908,10291067.62579004,1.2603115657601731,1.75310804239e-05,35691.975000000006,15
93.06263299997238,2025-01-16T00:00:00.000000,2025-01-16T23:59:50.000000,16.0627976148477,21.197804652434847,98.92609600001276,2517.2913531658755,8407149.379696729,0.94072885480046,1.10707448126e-05,33715.75,16
-57.45841200001087,2025-01-17T00:00:00.000000,2025-01-17T23:59:50.000000,-8.454066439598106,-10.490167318864176,123.810418000008,3127.361963190184,10680602.06079404,-0.4640838220900535,-5.38032057761196e-06,21013.95,17
-146.32592500002056,2025-01-18T00:00:00.000000,2025-01-18T23:59:50.000000,-18.63991750507315,-21.77513174337841,275.90637900001923,3170.366940618127,10521858.55770346,-0.530346291848549,-1.39084613263e-05,23199.575000000004,18
464.779599999983,2025-01-19T00:00:00.000000,2025-01-19T23:59:50.000000,31.48678564612566,56.2681532314916,143.14175499999735,4974.575761083459,16266278.671142409,3.246988273966541,2.85765053925e-05,20440.95,19
368.0817689999735,2025-01-20T00:00:00.000000,2025-01-20T23:59:50.000000,22.03382567159653,35.81818168596313,294.3313449999931,7584.8778793841875,25145828.0867692,1.2505693846504256,1.46395805585e-05,23973.075000000004,20
262.1010080000127,2025-01-21T00:00:00.000000,2025-01-21T23:59:50.000000,43.32120524900889,59.624414882495536,50.41160900000534,2996.3467993980785,9846249.69223287,5.1992192512638296,2.66224558049e-05,23165.275,21
206.21258999999677,2025-01-22T00:00:00.000000,2025-01-22T23:59:50.000000,47.727129449302105,74.46041424783631,43.89387100000879,1268.1467762472507,4168408.354670681,4.69798141066108,4.94760691402e-05,29348.775,22
586.6856589999918,2025-01-23T00:00:00.000000,2025-01-23T23:59:50.000000,68.71569220774347,142.68067815304184,38.929726000000414,2853.3302465563143,9254977.767982395,15.070377299855272,6.33987012181e-05,26229.0,23
234.0271519999825,2025-01-24T00:00:00.000000,2025-01-24T23:59:50.000000,37.40838625038492,58.00999441118391,44.82374700000497,2301.266350272022,7739317.274314151,5.221052849507573,3.024223369e-05,30295.125,24
16.221028000004708,2025-01-25T00:00:00.000000,2025-01-25T23:59:50.000000,4.307843092191432,5.372287149772356,61.11574199999794,1338.1548790369256,4426922.655307329,0.2654148909785838,3.664601104262007e-06,13271.1,25
76.81407700002165,2025-01-26T00:00:00.000000,2025-01-26T23:59:50.000000,17.11860489351605,21.945313108760654,48.87690899999215,1463.1693483042018,4850052.118624841,1.571582135033007,1.58396171151e-05,33373.75,26
